Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2017-2018,Australian Transport Safety Bureau,TRUE,,Infrastructure and Regional Development,FALSE,7/06/2018 13:53,FALSE,1,7,2000,200,400,0,0,0,0,2,100,0,0,0,400,0,0,0,0,0,0,0,0,0
2017-2018,Australian War Memorial,TRUE,,Defence,FALSE,27/07/2018 15:25,FALSE,0,1,1,1,15,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Bureau of Meteorology,TRUE,,Environment,FALSE,1/08/2018 14:03,FALSE,2,38,1647,130,220,40,0,0,0,0,20,4,2,0,100,0,41749,0,27735,0,1840,0,0,0
2017-2018,Cancer Australia,TRUE,,Health,FALSE,27/07/2018 11:03,FALSE,0,5,40,10,0,30,0,0,0,0,0,0,0,0,0,0,33822,0,0,0,0,0,0,0
2017-2018,Civil Aviation Safety Authority,TRUE,,Infrastructure and Regional Development,FALSE,29/06/2018 15:12,FALSE,1,2,2400,0,100,0,0,0,0,1,25,0,0,0,1000,0,0,0,0,0,0,0,0,0
2017-2018,Classification Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,19/07/2018 16:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Classification Review Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,19/07/2018 16:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Clean Energy Finance Corporation,TRUE,,Environment,FALSE,10/07/2018 15:52,FALSE,0,10,7,3,0,0,0,0,0,8,6,2,0,0,355,0,0,0,0,0,1760,0,0,0
2017-2018,Clean Energy Regulator,TRUE,,Environment,FALSE,27/06/2018 14:41,FALSE,0,30,193,51,154,9,0,0,0,10,35,5,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Climate Change Authority,TRUE,Department of the Environment and Energy,Environment,FALSE,22/06/2018 12:19,FALSE,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0
2017-2018,Coal Mining Industry (Long Service Leave Funding) Corporation,TRUE,Department of Jobs and Small Business,Employment,FALSE,17/07/2018 10:04,FALSE,0,5,8,0,2,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
2017-2018,Comcare,TRUE,Comcare,Employment,FALSE,18/07/2018 11:29,FALSE,3,12,5784,88,161,249,0,0,0,0,0,0,0,0,890,0,0,0,8126,0,0,0,0,0
2017-2018,Commonwealth Environmental Water Holder,TRUE,Department of the Environment and Energy,Environment,FALSE,6/10/2017 12:58,FALSE,0,4,0,4,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Commonwealth Grants Commission,TRUE,,Treasury,FALSE,10/07/2018 9:52,FALSE,0,3,5,43,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Commonwealth Ombudsman,TRUE,,Prime Minister and Cabinet,FALSE,24/07/2018 14:02,FALSE,1,4,3135,0,0,0,0,0,0,1,2,0,0,0,278,0,0,0,9288,0,622,0,0,0
2017-2018,Commonwealth Scientific and Industrial Research Organisation (CSIRO),TRUE,,"Industry, Innovation and Science",FALSE,9/07/2018 13:15,FALSE,2,0,1460,0,100,1040,0,0,0,2,5,0,0,20,250,0,20000,0,0,0,400,0,0,0
2017-2018,Commonwealth Superannuation Corporation (previously ARIA),TRUE,,Finance,FALSE,19/07/2018 11:35,FALSE,0,2,261,0,0,0,0,0,0,1,1175,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Companies Auditors and Liquidators Disciplinary Board,TRUE,Department of the Treasury,Treasury,TRUE,24/07/2018 14:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Complaints Resolution Panel (Therapeutic good advertising),FALSE,Department of Health,Health,TRUE,14/06/2018 16:50,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Copyright Tribunal of Australia,TRUE,,Communications and the Arts,TRUE,30/07/2018 15:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Corporations and Markets Advisory Committee,FALSE,,Treasury,TRUE,1/08/2018 9:34,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Cotton Research and Development Corporation,TRUE,,Agriculture and Water Resources,FALSE,10/07/2018 11:15,FALSE,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Families of Australia,TRUE,Department of Defence,Defence,TRUE,3/07/2018 13:10,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Force Discipline Appeal Tribunal,TRUE,,Attorney-General's,FALSE,9/07/2018 10:44,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Force Remuneration Tribunal,TRUE,Remuneration Tribunal,Prime Minister and Cabinet,TRUE,2/01/2018 12:50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Defence Housing Australia,TRUE,,Defence,FALSE,18/07/2018 11:15,FALSE,0,3,1015,5,0,0,0,0,0,1,50,0,0,0,100,0,0,0,0,0,6990,0,0,0
2017-2018,Defence Reserves Support Council,TRUE,Department of Defence,Defence,TRUE,3/07/2018 13:12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Department of Agriculture and Water Resources,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,FALSE,11/07/2018 10:54,FALSE,3,0,5130,758,589,1327,0,0,0,0,270,0,0,0,122,0,0,0,0,0,0,0,0,0
2017-2018,Department of Communications and the Arts,TRUE,Department of Communications and the Arts,Communications and the Arts,FALSE,25/07/2018 14:43,FALSE,1,37,1710,406,307,713,0,38,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Department of Defence,TRUE,Department of Defence,Defence,FALSE,10/07/2018 10:20,FALSE,20,126,38945,6900,22425,2925,20,0,0,0,0,0,0,0,18500,0,83447,0,0,0,113766,0,0,0
2017-2018,Department of Education and Training,TRUE,Department of Education and Training,Education and Training,FALSE,17/07/2018 10:18,FALSE,8,6,19540,358,1116,0,0,0,0,1,26,0,0,0,2588,0,0,0,0,0,2760,0,0,0
2017-2018,Department of Finance,TRUE,Department of Finance,Finance,FALSE,7/06/2018 16:29,FALSE,3,75,5640,735,1470,735,0,0,0,1,32,0,0,0,5500,0,0,0,0,0,0,0,0,0
2017-2018,Department of Foreign Affairs and Trade,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,FALSE,31/07/2018 12:08,FALSE,6,2,11000,540,1080,540,50,0,1,0,50,0,0,0,5000,0,0,0,0,0,5000,0,0,0
2017-2018,Department of Health,TRUE,Department of Health,Health,FALSE,6/10/2017 15:33,FALSE,12,7,24000,443,5373,98,0,0,1,0,0,0,0,0,7520,0,14000,0,12209,0,10120,0,5000,0
2017-2018,Department of Home Affairs,TRUE,Department of Home Affairs,Home Affairs,FALSE,20/07/2018 14:38,FALSE,75,135,134820,18,639,98,0,0,0,79,163,0,0,0,113693,0,60434,0,55064,0,64908,0,140152,0
2017-2018,Department of Human Services,TRUE,Department of Human Services,Social Services,FALSE,20/07/2018 8:08,FALSE,42,720,84900,1700,4150,41500,0,0,0,78,7800,0,80,0,18415,0,18018,0,0,0,2935,0,0,0
2017-2018,"Department of Industry, Innovation and Science",TRUE,"Department of Industry, Innovation and Science","Industry, Innovation and Science",FALSE,5/07/2018 9:41,FALSE,2,5,5800,2600,1400,800,300,1200,0,1,200,0,0,200,0,0,0,0,0,0,0,0,0,0
2017-2018,"Department of Infrastructure, Regional Development and Cities",TRUE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,FALSE,12/02/2018 14:13,FALSE,2,50,1651,91,273,0,5,5,0,5,185,5,5,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Department of Jobs and Small Business,TRUE,Department of Jobs and Small Business,Employment,FALSE,15/01/2018 10:55,FALSE,12,3,13543,220,1215,291,0,0,0,1,1,0,0,0,6152,0,0,0,0,0,2760,0,0,0
2017-2018,Department of Social Services,TRUE,Department of Social Services,Social Services,FALSE,13/02/2018 14:59,FALSE,2,1,5000,125,600,60,50,0,0,2,375,10,4,10,900,0,0,0,0,0,6000,0,0,0
2017-2018,Department of the Environment and Energy,TRUE,Department of the Environment and Energy,Environment,FALSE,12/06/2018 11:06,FALSE,3,222,4680,940,1880,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,0
2017-2018,Department of the Prime Minister and Cabinet,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,FALSE,5/07/2018 11:00,FALSE,6,5,10473,1943,3885,1943,0,0,0,2,30,0,0,0,0,0,153780,0,0,0,0,0,0,0
2017-2018,Department of the Treasury,TRUE,Department of the Treasury,Treasury,FALSE,24/07/2018 14:03,FALSE,3,170,1600,1935,3225,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Department of Veterans' Affairs,TRUE,Department of Veterans' Affairs,Defence,FALSE,27/07/2018 10:57,FALSE,8,10,19013,15,3261,3261,0,4,0,2,20,0,5,0,32610,0,18419,0,6278,0,0,0,0,0
2017-2018,Deputy Prime Minister,TRUE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,FALSE,31/07/2018 16:43,FALSE,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Director of National Parks,TRUE,Department of the Environment and Energy,Environment,FALSE,22/06/2018 14:36,FALSE,0,19,98,70,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Executive Director of Township Leasing,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:01,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Export Finance and Insurance Corporation,TRUE,Export Finance and Insurance Corporation,Foreign Affairs and Trade,FALSE,19/07/2018 16:40,FALSE,0,7,0,1,30,100,0,0,0,1,0,0,0,2,0,0,6788,0,0,0,0,0,0,0
2017-2018,Fair Work Commission,TRUE,,Employment,FALSE,4/07/2018 11:45,FALSE,1,3,2340,0,0,0,0,0,1,2,150,0,0,0,0,0,1163,0,0,0,0,0,0,0
2017-2018,Fair Work Ombudsman,TRUE,,Employment,FALSE,7/06/2018 13:36,FALSE,3,2,5564,224,235,175,0,0,0,0,40,0,0,0,3320,0,1997,0,0,0,600,0,0,0
2017-2018,Family Court of Australia,TRUE,,Attorney-General's,FALSE,20/07/2018 11:11,FALSE,0,2,0,5,10,0,0,0,0,2,0,10,20,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Family Law Council,TRUE,,Attorney-General's,TRUE,21/06/2018 14:58,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Federal Circuit Court of Australia,TRUE,,Attorney-General's,FALSE,2/07/2018 11:25,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Federal Court of Australia,TRUE,,Attorney-General's,FALSE,19/07/2018 16:22,FALSE,0,4,247,0,0,0,0,0,0,4,32,0,0,0,0,0,818,0,0,0,0,375,0,0
2017-2018,Film Certification Advisory Board,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,19/07/2018 16:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Financial Reporting Council,TRUE,Department of the Treasury,Treasury,TRUE,24/07/2018 14:36,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Fisheries Research and Development Corporation,TRUE,,Agriculture and Water Resources,FALSE,2/07/2018 16:46,FALSE,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,26658,0,0,0,0,0,0,0
2017-2018,Food Standards Australia New Zealand,TRUE,,Health,FALSE,2/07/2018 14:56,FALSE,0,2,42,24,150,48,0,0,0,2,0,1,3,0,400,0,0,0,0,0,950,0,0,0
2017-2018,Future Fund Management Agency,TRUE,,Finance,FALSE,23/07/2018 12:14,FALSE,0,9,136,0,9,11,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Gene Technology Ethics & Community Consultative Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Gene Technology Ministerial Council,TRUE,Department of Health,Health,TRUE,14/06/2018 16:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Gene Technology Regulator,TRUE,Gene Technology Regulator,Health,FALSE,3/07/2018 14:53,FALSE,0,20,0,10,105,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0
2017-2018,Gene Technology Technical Advisory Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Geoscience Australia,TRUE,"Department of Industry, Innovation and Science","Industry, Innovation and Science",FALSE,5/07/2018 15:41,FALSE,0,2,60,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Grains Research and Development Corporation,TRUE,,Agriculture and Water Resources,FALSE,3/08/2018 9:18,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Great Barrier Reef Marine Park Authority,TRUE,,Environment,FALSE,25/07/2018 11:07,FALSE,0,27,165,3,16,34,0,0,0,10,0,0,370,114,0,0,0,0,0,0,0,0,0,0
2017-2018,Health and Hospitals Fund Advisory Board,TRUE,Department of Health,Health,TRUE,14/06/2018 16:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,High Court of Australia,TRUE,,Attorney-General's,FALSE,24/07/2018 15:50,FALSE,0,1,5,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Immigration Assessment Authority,TRUE,,Attorney-General's,FALSE,12/04/2018 14:41,FALSE,0,7,1035,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3496,0,0,0
2017-2018,Independent Hospital Pricing Authority,TRUE,,Health,FALSE,4/07/2018 13:53,FALSE,0,1,10,0,0,0,0,0,0,1,15,0,0,0,500,0,0,0,0,0,0,0,0,0
2017-2018,Independent Parliamentary Expenses Authority,TRUE,,Finance,FALSE,4/07/2018 11:20,FALSE,0,7,680,90,20,40,0,0,0,4,10,10,10,10,0,0,0,0,0,0,900,0,0,0
2017-2018,Independent Review PBS Cost Recovery Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Indigenous Business Australia,TRUE,,Prime Minister and Cabinet,FALSE,3/07/2018 16:02,FALSE,0,0,250,3,4,4,0,0,0,0,30,0,0,0,0,0,85000,0,0,0,0,0,0,0
2017-2018,Indigenous Land Corporation,TRUE,,Prime Minister and Cabinet,FALSE,31/07/2018 10:47,FALSE,0,5,150,0,0,0,0,0,0,3,20,0,0,0,100,0,10000,0,0,0,0,0,0,0
2017-2018,Infrastructure Australia,TRUE,,Infrastructure and Regional Development,FALSE,9/07/2018 13:58,FALSE,0,2,140,30,20,10,0,0,0,2,4,0,0,2,0,0,21987,0,0,0,0,0,0,0
2017-2018,Inspector-General of Taxation,TRUE,,Treasury,FALSE,2/07/2018 9:15,FALSE,0,11,11,0,0,0,0,0,0,2,2,0,0,0,0,0,2226,0,0,0,0,0,0,0
2017-2018,International Air Services Commission,TRUE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,TRUE,31/07/2018 16:33,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,IP Australia,TRUE,IP Australia,"Industry, Innovation and Science",FALSE,5/07/2018 18:08,FALSE,2,8,3800,30,250,250,0,0,0,8,500,20,10,0,595,120,8000,0,0,0,1840,0,0,0
2017-2018,Medical Training Review Panel,TRUE,Department of Health,Health,TRUE,14/06/2018 16:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Medicare Participation Review Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Merit Protection Commissioner,TRUE,,Prime Minister and Cabinet,FALSE,2/07/2018 9:25,FALSE,0,4,163,0,0,0,0,0,0,1,20,0,0,0,0,0,8000,0,0,0,0,0,0,0
2017-2018,Military Rehabilitation and Compensation Commission,TRUE,Department of Veterans' Affairs,Defence,TRUE,27/07/2018 10:50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister Assisting the Prime Minister for Cabinet,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister Assisting the Prime Minister for Counter-Terrorism,FALSE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 14:56,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister Assisting the Prime Minister for Cyber Security,FALSE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 14:57,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister Assisting the Prime Minister for the Centenary of ANZAC,TRUE,Department of Veterans' Affairs,Defence,TRUE,27/07/2018 10:48,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister Assisting the Prime Minister for the Public Service,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,FALSE,5/07/2018 11:01,FALSE,0,4,2,7,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Aged Care and Indigenous Health,TRUE,Department of Health,Health,TRUE,14/06/2018 16:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Agriculture and Water Resources,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,FALSE,24/10/2017 10:13,FALSE,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Citizenship and Multicultural Affairs,TRUE,Department of Home Affairs,Home Affairs,TRUE,31/07/2018 12:33,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Communications,TRUE,Minister for Communications,Communications and the Arts,FALSE,27/07/2018 15:24,FALSE,0,2,0,0,0,0,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Defence,TRUE,Department of Defence,Defence,FALSE,3/07/2018 13:09,FALSE,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Defence Industry,TRUE,Department of Defence,Defence,TRUE,3/07/2018 13:31,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Defence Personnel,TRUE,Department of Defence,Defence,FALSE,3/07/2018 13:29,FALSE,0,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
