Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2017-2018,Minister for Education and Training,TRUE,Department of Education and Training,Education and Training,FALSE,19/01/2018 14:32,FALSE,0,1,1,6,8,0,9,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Finance,TRUE,Department of Finance,Finance,FALSE,27/07/2018 11:33,FALSE,0,4,30,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Foreign Affairs,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,FALSE,6/07/2018 10:25,FALSE,0,1,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Health,TRUE,Department of Health,Health,FALSE,14/06/2018 16:50,FALSE,0,15,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Home Affairs and Immigration and Border Protection,TRUE,Department of Home Affairs,Home Affairs,FALSE,31/07/2018 12:40,FALSE,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Human Services,TRUE,Department of Human Services,Social Services,FALSE,30/07/2018 15:00,FALSE,0,4,0,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Indigenous Affairs,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,FALSE,5/07/2018 11:01,FALSE,0,4,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,"Minister for Industry, Innovation and Science",TRUE,"Department of Industry, Innovation and Science","Industry, Innovation and Science",TRUE,5/07/2018 15:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Infrastructure and Transport,TRUE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,FALSE,31/07/2018 16:39,FALSE,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for International Development and the Pacific,TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,TRUE,1/08/2018 8:58,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Jobs and Innovation,TRUE,Department of Jobs and Small Business,Employment,FALSE,6/07/2018 14:34,FALSE,0,7,247,4,4,1,150,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Justice,FALSE,Attorney-General's Department,Attorney-General's,FALSE,26/07/2018 16:03,TRUE,0,9,0,0,0,0,20,120,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Law Enforcement and Cybersecurity,TRUE,Department of Home Affairs,Home Affairs,FALSE,31/07/2018 9:38,FALSE,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Local Government and Territories,FALSE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,FALSE,31/07/2018 16:40,FALSE,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Regional Communications,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,19/07/2018 16:51,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Regional Development,TRUE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,FALSE,31/07/2018 16:35,FALSE,0,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Resources and Northern Australia,TRUE,"Department of Industry, Innovation and Science","Industry, Innovation and Science",TRUE,5/07/2018 16:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Rural Health and Sport,TRUE,Department of Health,Health,FALSE,14/06/2018 16:50,FALSE,0,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,"Minister for Small and Family Business, the Workplace and Deregulation",TRUE,Department of Jobs and Small Business,Employment,FALSE,18/06/2018 9:40,FALSE,0,3,8,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Small Business,FALSE,Department of Jobs and Small Business,Employment,TRUE,24/07/2018 14:36,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Social Services,TRUE,Department of Social Services,Social Services,FALSE,9/07/2018 11:18,FALSE,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for the Arts,TRUE,Minister for Communications,Communications and the Arts,TRUE,27/07/2018 15:21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for the Environment and Energy,TRUE,Department of the Environment and Energy,Environment,FALSE,22/06/2018 17:23,FALSE,0,8,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,"Minister for Trade, Tourism and Investment",TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,TRUE,6/07/2018 12:31,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Urban Infrastructure,TRUE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,FALSE,31/07/2018 16:41,FALSE,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Veterans' Affairs,TRUE,Department of Veterans' Affairs,Defence,TRUE,27/07/2018 10:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Minister for Women,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Murray-Darling Basin Authority,TRUE,,Agriculture and Water Resources,FALSE,4/07/2018 14:07,FALSE,2,5,270,49,613,474,0,0,0,5,518,0,0,0,383,0,36014,0,0,0,1748,0,0,0
2017-2018,Museum of Australian Democracy,TRUE,,Communications and the Arts,FALSE,20/07/2018 12:53,FALSE,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Archives of Australia,TRUE,,Attorney-General's,FALSE,26/06/2018 13:55,FALSE,0,2,188,0,6,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,7360,0,0,0
2017-2018,National Blood Authority,TRUE,,Health,FALSE,2/07/2018 12:11,FALSE,0,3,10,4,1,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Capital Authority,TRUE,,Infrastructure and Regional Development,FALSE,12/07/2018 11:54,FALSE,1,1,1000,100,0,0,0,0,0,0,0,0,0,0,2500,100,0,0,0,0,4000,0,0,0
2017-2018,National Competition Council,TRUE,,Treasury,FALSE,11/07/2018 13:39,FALSE,0,9,0,3,6,0,0,0,0,0,0,0,0,0,9,0,2623,0,0,0,0,0,0,0
2017-2018,National Disability Insurance Agency,TRUE,,Social Services,FALSE,14/06/2018 9:54,FALSE,11,7,20880,650,1344,4032,0,0,0,5,50,5,10,5,10000,0,15000,0,0,0,3000,0,0,0
2017-2018,National Film and Sound Archive of Australia,TRUE,,Communications and the Arts,FALSE,2/07/2018 13:48,FALSE,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,0,0
2017-2018,National Gallery of Australia,TRUE,,Communications and the Arts,FALSE,5/07/2018 8:49,FALSE,0,1,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Health and Medical Research Council,TRUE,,Health,FALSE,12/07/2018 10:01,FALSE,0,38,60,13,140,91,0,0,0,6,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Industrial Chemicals Notification and Assessment Scheme,TRUE,,Health,TRUE,5/06/2018 9:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Library of Australia,TRUE,,Communications and the Arts,FALSE,2/07/2018 11:03,FALSE,0,3,50,0,0,0,0,0,0,3,5,0,0,0,0,0,8727,0,0,0,0,0,0,0
2017-2018,National Mental Health Commission,TRUE,,Health,FALSE,1/08/2018 14:10,FALSE,0,2,5,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Museum of Australia,TRUE,,Communications and the Arts,FALSE,2/07/2018 17:14,FALSE,0,4,6,0,4,2,0,0,0,5,96,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Native Title Tribunal,TRUE,,Attorney-General's,FALSE,30/07/2018 17:33,FALSE,0,7,15,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0
2017-2018,National Offshore Petroleum Safety & Environmental Management Auth.,TRUE,,"Industry, Innovation and Science",FALSE,5/06/2018 10:14,FALSE,2,2,79,0,10,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Portrait Gallery of Australia,TRUE,,Communications and the Arts,TRUE,2/07/2018 15:51,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,National Transport Commission,TRUE,,Infrastructure and Regional Development,FALSE,4/07/2018 7:54,FALSE,0,2,10,0,8,12,0,0,0,2,10,0,6,0,0,0,0,0,0,0,0,0,0,0
2017-2018,NBN Co Limited (ACN 136 533 741),TRUE,,Communications and the Arts,FALSE,6/06/2018 16:48,FALSE,0,4,2400,354,0,15,0,0,0,1,20,20,0,20,0,0,0,0,0,0,0,0,0,0
2017-2018,Norfolk Island Regional Council ,TRUE,,x Norfolk Island (external territory),FALSE,20/04/2018 11:00,FALSE,0,1,16,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Northern Australian Infrastructure Facility,TRUE,Northern Australian Infrastructure Facility,Foreign Affairs and Trade,FALSE,31/07/2018 11:20,FALSE,0,5,400,50,0,50,10,0,0,2,100,0,0,0,0,0,181493,0,0,0,0,0,0,0
2017-2018,Office of Parliamentary Counsel,TRUE,,Attorney-General's,FALSE,30/07/2018 10:27,FALSE,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Office of the Australian Information Commissioner,TRUE,,Attorney-General's,FALSE,23/07/2018 17:32,FALSE,1,9,3915,115,175,25,0,0,0,1,50,0,0,0,1850,0,0,0,1721,0,0,0,0,0
2017-2018,Office of the Commonwealth Director of Public Prosecutions,TRUE,,Attorney-General's,FALSE,2/07/2018 10:47,FALSE,0,20,0,7,339,66,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Office of the eSafety Commissioner,TRUE,,Communications and the Arts,FALSE,17/04/2018 10:29,FALSE,0,4,300,50,100,0,0,0,0,4,200,5,5,5,0,0,5000,0,0,0,0,0,0,0
2017-2018,Office of the Independent National Security Legislation Monitor (INSLM),TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,5/07/2018 11:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Office of the Official Secretary to the Governor-General,TRUE,,Prime Minister and Cabinet,FALSE,20/04/2018 14:47,FALSE,0,3,3,2,0,0,0,0,0,2,2,2,0,0,0,0,5082,0,0,0,0,0,0,0
2017-2018,Office of the Registrar of Indigenous Corporations,TRUE,,Prime Minister and Cabinet,FALSE,23/07/2018 15:37,FALSE,0,16,1570,66,159,21,0,0,0,3,3,1,2,0,1125,0,7600,0,0,0,650,0,0,0
2017-2018,Parliamentary Retiring Allowances Trust,TRUE,Department of Finance,Finance,TRUE,18/07/2018 12:03,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Pathology Services Table Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Pharmaceutical Benefits Advisory Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Pharmaceutical Benefits Remuneration Tribunal,TRUE,Department of Health,Health,TRUE,14/06/2018 16:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Prime Minister,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,FALSE,5/07/2018 11:01,FALSE,0,6,1400,0,0,0,936,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Productivity Commission,TRUE,,Treasury,FALSE,25/07/2018 9:59,FALSE,0,2,36,6,4,0,0,0,0,2,2,0,0,0,0,0,7741,0,0,0,11800,0,0,0
2017-2018,Professional Services Review,TRUE,,Health,FALSE,24/07/2018 10:36,FALSE,0,5,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2470,0,0,0
2017-2018,Prostheses List Advisory Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Public Lending Right Committee,TRUE,Department of Communications and the Arts,Communications and the Arts,TRUE,19/07/2018 16:50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Registered Organisations Commission ,TRUE,Registered Organisations Commission ,Employment,FALSE,20/07/2018 19:14,FALSE,0,2,90,9,18,9,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0
2017-2018,Remuneration Tribunal,TRUE,Remuneration Tribunal,Prime Minister and Cabinet,FALSE,28/09/2017 12:33,FALSE,0,6,2,0,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Repatriation Commission,TRUE,Department of Veterans' Affairs,Defence,TRUE,27/07/2018 10:50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Repatriation Medical Authority,TRUE,,Defence,FALSE,9/07/2018 16:50,FALSE,0,2,18,0,0,0,0,0,0,3,2,0,0,0,0,0,7200,0,0,0,0,0,0,0
2017-2018,Reserve Bank of Australia,TRUE,,Treasury,FALSE,16/07/2018 16:52,FALSE,0,27,111,11,0,43,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Royal Australian Air Force Veterans' Residences Trust Fund,TRUE,,Defence,TRUE,2/07/2018 13:20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Royal Australian Air Force Welfare Trust Fund,TRUE,,Defence,TRUE,2/07/2018 14:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Royal Australian Navy Central Canteens Board,TRUE,Department of Defence,Defence,TRUE,3/07/2018 13:27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Royal Australian Navy Relief Trust Fund,TRUE,Department of Defence,Defence,TRUE,3/07/2018 13:13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Safe Work Australia,TRUE,,Employment,FALSE,27/07/2018 10:47,FALSE,0,16,232,20,17,0,0,0,0,4,40,5,5,0,2000,0,10633,1521,0,0,0,0,0,0
2017-2018,"Safety, Rehabilitation and Compensation Commission",TRUE,Comcare,Employment,TRUE,18/07/2018 11:14,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Screen Australia,TRUE,,Communications and the Arts,FALSE,25/07/2018 10:04,FALSE,0,5,61,36,15,2,0,0,0,1,5,0,0,0,0,0,3012,0,0,0,0,0,0,0
2017-2018,"Seafarers Safety, Rehabilitation and Compensation (Seacare) Authority",TRUE,Comcare,Employment,TRUE,18/07/2018 11:17,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Second Review Dental Benefits Act 2008 Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:48,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Secretaries' ICT Governance Board,TRUE,Department of Finance,Finance,TRUE,18/07/2018 12:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Solicitor-General,TRUE,Attorney-General's Department,Attorney-General's,TRUE,10/07/2018 16:09,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Special Broadcasting Service Corporation,TRUE,,Communications and the Arts,FALSE,30/07/2018 15:02,FALSE,0,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Special Minister of State,TRUE,Department of Finance,Finance,FALSE,18/07/2018 12:03,FALSE,0,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Specialist Medical Review Council,TRUE,,Defence,TRUE,4/07/2018 12:48,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Superannuation Complaints Tribunal,TRUE,,Treasury,FALSE,18/07/2018 16:54,FALSE,0,3,20,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Sydney Harbour Federation Trust,TRUE,,Environment,FALSE,9/07/2018 13:16,FALSE,0,8,40,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Takeovers Panel,TRUE,Department of the Treasury,Treasury,TRUE,24/07/2018 14:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Tax Practitioners Board,TRUE,,Treasury,FALSE,12/06/2018 10:23,FALSE,0,3,300,0,17,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Tertiary Education Quality and Standards Agency,TRUE,,Education and Training,FALSE,31/07/2018 9:14,FALSE,0,13,71,0,20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Therapeutic Goods Advertising Code Council,FALSE,Department of Health,Health,TRUE,14/06/2018 16:50,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Therapeutic Goods Committee,TRUE,Department of Health,Health,TRUE,14/06/2018 16:49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Torres Strait Regional Authority,TRUE,,Prime Minister and Cabinet,FALSE,27/07/2018 16:53,FALSE,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5000,0,10000,0,0,0,0,0,0,0
2017-2018,Tourism Australia,TRUE,,Foreign Affairs and Trade,FALSE,1/08/2018 14:39,FALSE,0,2,3,0,0,0,0,0,0,1,5,0,0,0,0,0,2000,0,0,0,0,0,0,0
2017-2018,Trans-Tasman IP Attorneys Board,TRUE,IP Australia,"Industry, Innovation and Science",TRUE,5/07/2018 17:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Trans-Tasman IP Attorneys Disciplinary Tribunal ,TRUE,IP Australia,"Industry, Innovation and Science",TRUE,5/07/2018 17:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Treasurer,TRUE,Department of the Treasury,Treasury,FALSE,24/07/2018 13:36,FALSE,0,5,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Veterans' Review Board,TRUE,,Defence,FALSE,26/07/2018 10:51,FALSE,0,1,11,0,1,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Workplace Gender Equality Agency,TRUE,,Employment,TRUE,20/07/2018 10:28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Wreck Bay Aboriginal Community Council ,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
